2026-08-09T23:14:30,865508014+00:00 status=200 body={"status": "ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": true}, "checked_at_utc": "2026-08-09T23:14:29.121475+00:00", "detail": "model listed by inference endpoint"}
2026-08-09T23:14:30,974272616+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:31,083833479+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:31,192510667+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:31,302267391+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:31,411594010+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:31,520971165+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:31,630046397+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:31,739145174+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:31,848213002+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:31,957784114+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
